Date,Category,Location,Infrastructure / Sector,Impact (reported),Source (publisher),Source title,Key findings (from source),URL
2026-01-15,Attack / Damage,Kharkiv (outskirts),Large energy facility (unspecified),Kharkiv mayor said a large energy facility was destroyed; continued strain on heat supply after earlier attacks.,Reuters,"Russia destroys large energy facility in Kharkiv, mayor says","Local officials reported Russian strikes destroyed a major energy facility near Kharkiv, underscoring the winter campaign against power/heat infrastructure.",https://www.reuters.com/world/europe/russia-destroys-large-energy-facility-kharkiv-mayor-says-2026-01-15/
2026-01-15,Legal / Accountability (energy targets),Ukraine (national),Energy & heat-supply systems,Security Service of Ukraine (SBU) presented evidence framing systematic energy strikes as crimes against humanity (per article).,The Kyiv Independent,"Kyiv energy crisis 'extremely serious,' as SBU presents evidence of crime against humanity","The SBU argued Russia’s repeated attacks on energy and heat supply systems are systematic and aimed at civilian harm, documenting hundreds of strikes since the 2025 heating season began.",https://kyivindependent.com/kyiv-energy-crisis-extremely-serious-as-sbu-presents-evidence-of-crime-against-humanity/
2026-01-17,Policy / System response,Ukraine (national),Electricity imports & power equipment,President ordered acceleration of electricity imports and acquisition of additional power equipment amid severe energy crisis.,Reuters,"Ukraine's Zelenskiy orders faster imports of electricity, power equipment",Zelenskiy instructed authorities to speed up electricity imports and procurement of power equipment to stabilize supplies during the worst wartime energy crunch.,https://www.reuters.com/world/ukraines-zelenskiy-orders-faster-imports-electricity-power-equipment-2026-01-17/
2026-01-19,Attack / Damage,Multiple regions,Energy infrastructure (power grid),Drone barrage hit energy targets; power cut in multiple regions amid freezing temperatures; large drone interception reported.,Reuters,"Russia hits energy system in several regions of Ukraine, Kyiv says","Ukrainian officials said Russia launched a large drone wave targeting energy sites, leading to outages in several regions during peak winter demand.",https://www.reuters.com/world/europe/russia-hits-energy-system-several-regions-ukraine-kyiv-says-2026-01-19/
2026-01-20,Attack / Damage,Kyiv (left bank) and other areas,Power & water utilities; critical infrastructure,Combined drone/missile attack disrupted electricity and water supplies in Kyiv; injuries reported; broader impacts on grid resilience.,Reuters,"Russian attack plunges Kyiv into cold, threatens nuclear-... (power/water disruptions)","Kyiv officials reported power and water supply disruptions after combined drone and missile strikes, highlighting continued pressure on critical utilities.",https://www.reuters.com/world/russia-hits-kyiv-with-drones-missiles-cutting-power-water-supplies-2026-01-20/
2026-01-20,Restoration / Grid operations,Kyiv,District heating,"Heating restored to >1,600 buildings; ~4,000 buildings still without heat after latest strikes; repeated reconnections needed.",Ukrainska Pravda,"Heating restored to over 1600 apartment buildings in Kyiv, while 4000 remain without heat","City authorities said heating was partially restored, but thousands of buildings remained without heat after repeated damage from multiple attack waves.",https://www.pravda.com.ua/eng/news/2026/01/20/8017060/
2026-01-20,International support,Kyiv / Netherlands-Ukraine cooperation,Energy & district heating sectors,Ukraine and the Netherlands agreed to urgent support measures for energy resilience and heat supply.,Ministry for Development of Communities and Territories of Ukraine,Ukraine and the Netherlands join forces to provide urgent support to energy and district heating sectors,The ministry reported coordination with the Netherlands to deliver urgent assistance for energy and district-heating infrastructure under attack-related stress.,https://mindev.gov.ua/en/news/minrozvytku-ta-niderlandy-obiednuiut-zusyllia-dlia-terminovoi-pidtrymky-enerhetyky-ta-teplopostachannia-v-ukraini
2026-01-21,Human impact / Winterization,"Ukraine (multiple cities, incl. Kyiv)",Heating & electricity (civilian services),Reuters described severe winter conditions and repeated energy strikes leaving households without heat/power; coping measures highlighted.,Reuters,Ukraine endures its bitterest winter as Russia targets heating and power,"Reuters reported widespread outages amid sub-zero temperatures, illustrating how repeated strikes on heat and power systems translate into acute civilian hardship.",https://www.reuters.com/world/ukraine-endures-its-bitterest-winter-russia-targets-heating-power-2026-01-21/
2026-01-23,Grid status / Emergency measures,Ukraine (most regions),Power system (Ukrenergo),Ukrenergo said the energy situation significantly worsened; emergency outages introduced in most regions; generation facilities under emergency repair.,Reuters,Ukraine's grid operator says energy situation has 'significantly' worsened,"Ukrenergo reported the system had deteriorated after recent strikes, prompting emergency power cuts and urgent repairs at generation facilities.",https://www.reuters.com/business/energy/ukraines-grid-operator-says-energy-situation-has-significantly-worsened-2026-01-23/
2026-01-23,International support,EU → Ukraine,Backup generation for critical services,"European Commission deployed 447 emergency generators from EU strategic reserves (value €3.7m) for hospitals, shelters, critical services.",European Commission (DG ECHO),EU deploys emergency generators as Russian strikes leave over 1 million without power in -20°C,The Commission said it was deploying hundreds of generators from strategic reserves to restore power for essential services amid large-scale outage impacts.,https://civil-protection-humanitarian-aid.ec.europa.eu/news-stories/news/eu-deploys-emergency-generators-russian-strikes-leave-1-million-ukrainians-without-power-20degc-2026-01-23_en
2026-01-24,Attack / Damage,Kyiv and other regions,"Energy infrastructure (grid, heating)",Massive drone/missile assault left ~1.2 million properties without electricity; thousands of Kyiv buildings without heating; rare missile types reported.,Reuters,Russian air attack knocks out power for over a million Ukrainians,"Reuters reported a large-scale strike wave hitting the energy system, causing widespread blackouts and heating disruptions in severe cold.",https://www.reuters.com/world/ukrainian-capital-under-russian-attack-air-defences-operation-2026-01-24/
