Date,Category,Location,Infrastructure / Sector,Impact (reported),Source (publisher),Source title,Key findings (from source),URL
2026-01-20,Attack,Chornobyl Exclusion Zone (Kyiv Oblast),Electric substations / nuclear site off-site power,Chornobyl NPP lost all off-site power after widespread military activity affected substations; switched to backup power systems (reported by IAEA).,Reuters,IAEA says Ukraine's Chornobyl nuclear plant lost all off-site power on Tuesday,IAEA DG Grossi said several electrical substations vital for nuclear safety were affected; Chornobyl NPP lost all external power supply.,https://www.reuters.com/business/energy/iaea-says-ukraines-chornobyl-nuclear-plant-lost-all-off-site-power-tuesday-2026-01-20/
2026-01-20,Attack / Nuclear safety,Chornobyl Exclusion Zone,Power supply to Exclusion Zone facilities,Ukraine’s Energy Ministry said power was supplied from Ukraine’s integrated power system despite the overnight attack on infrastructure supplying the Exclusion Zone.,Ministry of Energy of Ukraine,Chornobyl Nuclear Power Plant Supplied with Electricity from Ukraine’s Integrated Power System Despite…,Energy infrastructure supplying the Chornobyl Exclusion Zone was targeted; ministry reported continued supply from the integrated power system.,https://www.mev.gov.ua/en/news/chornobyl-nuclear-power-plant-supplied-electricity-ukraines-integrated-power-system-despite
2026-01-20,Advocacy / Nuclear risk,Ukraine (nuclear-related infrastructure),Nuclear safety / substations,Greenpeace Ukraine warned renewed attacks on nuclear-related infrastructure increase nuclear safety risks and urged stronger sanctions on Rosatom.,Greenpeace,Greenpeace Ukraine on the electricity crisis at the Chornobyl nuclear power plant and threat to Ukraine’s operating nuclear plants,Greenpeace said attacks on substations and power supply infrastructure heighten nuclear safety risks and called for stronger action against Rosatom.,https://www.greenpeace.org/ukraine/en/news/5342/greenpeace-ukraine-on-the-electricity-crisis-at-the-chornobyl-nuclear-power-plant-and-threat-to-ukraines-operating-nuclear-plants/
2026-01-22,Nuclear safety / Grid resilience,Ukraine (multiple NPP sites),Off-site power lines (330 kV),"IAEA reported persistent damage risk to off-site power lines; backup lines disconnected due to military activity, underlining fragility of external power supply.",IAEA,Update 338 – IAEA Director General Statement on Situation in Ukraine,IAEA described off-site power vulnerabilities (incl. damaged/disconnected lines) and reiterated that substation damage undermines nuclear safety.,https://www.iaea.org/newscenter/pressreleases/update-338-iaea-director-general-statement-on-situation-in-ukraine
2026-01-23,Grid operations,Nationwide,Power system / grid stability,"Ukraine’s grid operator said the energy situation significantly worsened after recent air attacks, triggering emergency power outages in most regions.",Reuters,Ukraine's grid operator says energy situation has 'significantly' worsened,Ukrenergo said the system deteriorated after attacks and emergency outages were introduced in most regions; officials cited the hardest day since 2022 blackout.,https://www.reuters.com/business/energy/ukraines-grid-operator-says-energy-situation-has-significantly-worsened-2026-01-23/
2026-01-23,Energy sector statement,Davos / Ukraine (nationwide impact),Power generation & distribution (DTEK),DTEK CEO said Ukraine is nearing a humanitarian catastrophe due to strikes; called for an 'energy ceasefire' in any peace deal.,Reuters,"Ukraine needs energy ceasefire as catastrophe looming, top power executive says",DTEK’s CEO said repeated strikes are pushing Ukraine toward humanitarian catastrophe; argued any peace track must halt attacks on energy infrastructure.,https://www.reuters.com/business/energy/ukraine-needs-energy-ceasefire-catastrophe-looming-top-power-executive-says-2026-01-23/
2026-01-24,Attack,Kyiv & Kharkiv; Chernihiv region,Energy infrastructure (unspecified facilities),Large wave of strikes hit major cities and damaged energy infrastructure; authorities reported extensive shelling and emergency outages.,Euronews (via AP reporting),Ukraine facing emergency power cuts after Russian strikes on energy infrastructure,Strikes damaged energy infrastructure and triggered emergency power cuts; reporting highlighted wide geographic impact and civilian disruption.,https://www.euronews.com/2026/01/24/russia-launches-massive-strikes-on-ukraines-largest-cities-and-targets-energy-infrastructu
2026-01-24,Attack / Diplomacy context,Kyiv & Kharkiv,Critical infrastructure / energy,"The Guardian reported major drone/missile attacks on the two largest cities amid peace talks, with officials framing it as terror against critical infrastructure.",The Guardian,Russia launches 'brutal' attack on Ukraine as peace talks continue,Reported major overnight strikes on Kyiv/Kharkiv and referenced impacts on critical infrastructure during ongoing peace talks in the UAE.,https://www.theguardian.com/world/2026/jan/24/russia-launches-deadly-strikes-on-kyiv-and-kharkiv-ahead-of-day-two-of-peace-talks
2026-01-25,Impact (heating),Kyiv,District heating / residential blocks,"Reuters reported large numbers of apartment blocks still without heating after the Jan 24–25 strike wave, highlighting prolonged winter-time service disruption.",Reuters,"Around 1,700 Kyiv apartment blocks still without heating after Russian strike","After the large-scale attack on Kyiv’s energy system, authorities reported persistent heating outages across thousands of buildings during sub-zero weather.",https://www.reuters.com/business/energy/around-1700-kyiv-apartment-blocks-still-without-heating-after-russian-strike-2026-01-25/
2026-01-26,Attack / Restoration,Nationwide (incl. Kyiv region),Energy facilities & power lines,NV reported Russian drones struck multiple locations; scheduled rolling blackouts and industrial limits applied while crews restored damaged lines.,NV (New Voice of Ukraine),Russian attacks hit energy facilities leaving parts of Ukraine without power,Authorities reported numerous drone strikes and damage; scheduled outages resumed as crews repaired power lines and stabilized supply in Kyiv region.,https://english.nv.ua/business/russian-attacks-hit-energy-facilities-leaving-parts-of-ukraine-without-power-50578584.html
